,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
2171,2015-07-21,132.85,132.92,130.32,130.75,130.75,0.9988,0.083,0.722,0.195
2172,2015-07-22,121.99,125.5,121.99,125.22,125.22,0.9992,0.053,0.744,0.204
2173,2015-07-23,126.2,127.09,125.06,125.16,125.16,0.9901,0.042,0.799,0.159
2174,2015-07-24,125.32,125.74,123.9,124.5,124.5,0.964,0.035,0.819,0.145
2175,2015-07-27,123.09,123.61,122.12,122.77,122.77,0.8426,0.066,0.834,0.099
2176,2015-07-28,123.38,123.91,122.55,123.38,123.38,-0.782,0.109,0.826,0.065
2177,2015-07-29,123.15,123.5,122.27,122.99,122.99,0.4588,0.0,0.909,0.091
2178,2015-07-30,122.32,122.57,121.71,122.37,122.37,-0.09,0.056,0.898,0.046
2179,2015-07-31,122.6,122.64,120.91,121.3,121.3,0.0,0.0,0.0,0.0
2180,2015-08-03,121.5,122.57,117.52,118.44,118.44,0.9153,0.013,0.904,0.083
2181,2015-08-04,117.42,117.7,113.25,114.64,114.64,0.9382,0.008,0.925,0.066
2182,2015-08-05,112.95,117.44,112.1,115.4,115.4,-0.0018,0.046,0.912,0.041
2183,2015-08-06,115.97,116.5,114.12,115.13,115.13,0.3261,0.043,0.907,0.051
2184,2015-08-07,114.58,116.25,114.5,115.52,115.52,0.7812,0.034,0.91,0.056
2185,2015-08-10,116.53,119.99,116.53,119.72,119.72,0.9186,0.024,0.905,0.071
2186,2015-08-11,117.81,118.18,113.33,113.49,113.49,0.9559,0.053,0.829,0.118
2187,2015-08-12,112.53,115.42,109.63,115.24,115.24,0.9513,0.066,0.804,0.13
2188,2015-08-13,116.04,116.4,114.54,115.15,115.15,0.7845,0.056,0.861,0.083
2189,2015-08-14,114.32,116.31,114.01,115.96,115.96,0.9299,0.062,0.825,0.113
2190,2015-08-17,116.04,117.65,115.5,117.16,117.16,0.631,0.081,0.818,0.101
2191,2015-08-18,116.43,117.44,116.01,116.5,116.5,-0.5574,0.133,0.753,0.115
